,name,sex,dob,zip,citizenship,marital_status,last_voted
363,"Cook, Michael",Male,1971-10-25,2400,Denmark,Married/separated,1
364,"Slaughter, Denise",Female,1967-12-10,2300,Denmark,Divorced,1
365,"Feather, Shashankh",Male,1959-02-10,2200,Denmark,Married/separated,1
366,"Sanders, Wanya",Male,1963-03-30,2400,Denmark,Married/separated,1
367,"Baker, Erin",Female,1961-01-15,2400,Denmark,Married/separated,1
368,"Reed, Randal",Male,1959-10-23,2300,India,Married/separated,2
369,"el-Ghanem, Intisaar",Female,1959-12-07,2300,Denmark,Married/separated,1
370,"Linderman, Noemi",Female,1956-02-19,2200,Poland,Married/separated,2
371,"Gurreri, Aaron",Male,1956-09-26,2400,China,Married/separated,1
372,"Khabir, Lark",Male,1962-03-01,2300,Denmark,Married/separated,1
373,"Huynh, Kin-Lino",Male,1962-03-21,2400,Denmark,Never married,1
374,"Anderson, Steven",Male,1957-04-02,2400,Denmark,Never married,2
375,"Mccall, Kelsey",Female,1963-12-18,2100,Denmark,Never married,2
376,"al-Harroun, Tawheeda",Female,1958-03-30,2200,Denmark,Never married,2
377,"Perez, Monserrat",Female,1960-09-09,2400,Denmark,Married/separated,1
378,"Dhillon, Cody",Male,1960-04-11,2300,Denmark,Divorced,2
379,"Kazemi, Joaquinignacio",Male,1962-11-04,2400,Denmark,Divorced,2
380,"el-Younis, Nawfa",Female,1955-05-10,2300,Denmark,Married/separated,1
381,"Morales, Celina",Female,1957-10-27,2400,Denmark,Never married,2
382,"Huffman, Lauren",Female,1958-07-10,2200,Denmark,Married/separated,2
383,"al-Masih, Zumruda",Female,1963-06-04,2400,Denmark,Married/separated,1
384,"el-Kaleel, Mahaa",Female,1956-02-02,2400,Denmark,Married/separated,1
385,"Sodbinow, Jonathan",Male,1959-04-27,2400,Denmark,Divorced,1
386,"Willow, Marie",Female,1960-03-19,2300,Denmark,Married/separated,2
387,"Runyan, Katherine",Female,1962-04-26,2400,Denmark,Married/separated,1
388,"Reyes Sanchez, Timothy",Male,1962-12-09,2200,Denmark,Married/separated,1
389,"Coutu, Henry",Male,1955-10-23,2400,Denmark,Divorced,1
390,"Simpson, Lynn",Male,1962-12-11,2200,Turkey,Married/separated,2
391,"Kane, Derrick",Male,1958-07-23,2300,Denmark,Married/separated,2
392,"al-Salim, Annnees",Male,1956-05-15,2200,Denmark,Married/separated,2
393,"Shibre, Amanuel",Male,1962-06-24,2400,Denmark,Divorced,2
394,"el-Ullah, Mumtaaza",Female,1964-01-14,2400,Denmark,Married/separated,2
395,"Kacprowicz, Patricia",Female,1955-08-25,2200,Denmark,Married/separated,2
396,"Carey, Andrew",Male,1963-09-23,2300,Denmark,Married/separated,2
397,"Lor, Phitina",Female,1963-03-07,2100,Denmark,Married/separated,1
398,"Wells, Courtney",Female,1958-03-18,2400,Denmark,Married/separated,1
399,"Roberts, Kyle",Male,1958-04-20,2400,Denmark,Married/separated,2
400,"Massie, Amanda",Female,1958-11-06,2400,Denmark,Married/separated,1
401,"Worrell, Asia",Female,1956-09-09,2300,Denmark,Married/separated,2
402,"Dance, Natelle Rae",Female,1963-03-27,2400,Denmark,Married/separated,1
403,"York, Logan",Male,1959-07-07,2200,Denmark,Divorced,2
404,"Huh, Michael",Male,1960-05-01,2200,Denmark,Married/separated,2
405,"Garcia, Leticia",Female,1959-02-04,2400,Nepal,Married/separated,1
406,"Inks, Shomari",Male,1961-12-26,2300,Denmark,Never married,1
407,"Reed, Kile",Male,1955-12-26,2200,Denmark,Married/separated,2
408,"al-Kaleel, Zayyaan",Male,1955-09-03,2300,Denmark,Never married,1
409,"Heffernan, Shelby",Female,1955-05-15,2400,Denmark,Married/separated,2
410,"Ro, Jessica",Female,1960-08-03,2300,Denmark,Widowed,1
411,"Pogue, Meredith",Female,1954-05-16,2400,Denmark,Married/separated,2
412,"Hong, Tia",Female,1956-03-13,2100,Denmark,Married/separated,1
413,"Whitman, Evan",Male,1959-10-23,2400,Denmark,Married/separated,2
414,"Bean, Benjamin",Male,1954-10-03,2300,Denmark,Divorced,1
415,"Andrade, Kendra",Female,1959-04-13,2200,Denmark,Married/separated,2
416,"Lawrence, Tyrin",Male,1960-01-09,2300,Denmark,Divorced,2
417,"el-Qasim, Muneera",Female,1959-12-18,2200,Denmark,Married/separated,2
418,"Lacrue, Erik",Male,1956-03-01,2400,Denmark,Divorced,2
419,"Nteza, Merhawie",Male,1957-03-14,2300,Denmark,Married/separated,1
420,"Allee, Jordan",Female,1955-12-05,2100,Denmark,Married/separated,1
421,"Turner, Xavier",Male,1958-06-30,2400,Denmark,Never married,1
422,"al-Adel, Najiyya",Female,1963-03-17,2100,Denmark,Never married,1
423,"al-Farman, Haakima",Female,1956-03-04,2300,Denmark,Married/separated,1
424,"Richards III, Christopher",Male,1964-02-20,2400,Romania,Never married,2
425,"Kubit, Jehanzeb",Male,1957-06-05,2200,Denmark,Married/separated,1
426,"Chargualaf, Esther",Female,1962-10-15,2200,Denmark,Never married,1
427,"Mendez, Vanessa",Female,1961-06-25,2400,Denmark,Never married,1
428,"Castaneda, Geoffrey",Male,1959-03-24,2400,Denmark,Married/separated,2
429,"Chiang, Jenny",Female,1962-11-23,2400,Denmark,Married/separated,1
430,"Fitzgerald, Sydnie",Female,1954-03-22,2400,France,Married/separated,2
431,"Garcia, Jordan",Male,1960-10-08,2400,Denmark,Never married,1
432,"el-Ishmael, Zaghlool",Male,1954-12-24,2200,Denmark,Married/separated,2
433,"Kendrick, Emily",Female,1962-12-09,2400,Denmark,Married/separated,1
434,"Hadnott, Ammanuel",Male,1963-07-08,2100,Denmark,Married/separated,2
435,"Morgan, Malcolm",Male,1963-01-26,2300,Denmark,Never married,2
436,"Baldes, Amber",Female,1963-08-24,2300,Denmark,Married/separated,1
437,"Makaiwi, Haley",Female,1954-04-25,2400,Denmark,Married/separated,2
438,"Hansen, Christian",Male,1963-02-19,2200,Denmark,Never married,1
439,"Ortiz, Unique",Female,1959-09-15,2200,Denmark,Never married,1
440,"Horton, Latesha",Female,1951-07-27,2400,Denmark,Married/separated,1
441,"Stacks, Rosaline",Female,1954-02-12,2400,Denmark,Married/separated,1
442,"Wright, Kayla",Female,1945-11-12,2100,Denmark,Married/separated,1
443,"Manning, Suhad",Female,1946-05-28,2400,Denmark,Married/separated,1
444,"Gaddipati, Tyler",Male,1948-09-11,2200,Denmark,Married/separated,1
445,"Creech, Halie",Female,1946-06-05,2300,Romania,Married/separated,1
446,"Harris, Jesse",Female,1949-11-15,2300,Denmark,Married/separated,1
447,"Hewlett, Felicia",Female,1945-02-17,2300,Bulgaria,Divorced,1
448,"Mathews, Gabriella",Female,1947-06-15,2100,Denmark,Divorced,2
449,"el-Awan, Nooriyya",Female,1950-05-04,2400,Denmark,Married/separated,1
450,"Getz, Aaron",Male,1953-11-02,2300,Denmark,Married/separated,1
451,"el-Hussein, Masroora",Female,1952-11-21,2200,Denmark,Widowed,2
452,"Cooper, Eric",Male,1954-02-07,2100,Poland,Married/separated,1
453,"Falor, Diane",Female,1951-02-09,2100,Denmark,Divorced,1
454,"Schlose, Amy",Female,1953-07-01,2300,Denmark,Never married,1
455,"Westerberg, Jonathan",Male,1951-01-02,2300,Denmark,Never married,1
456,"Thulson, Rachel",Female,1948-12-27,2400,Denmark,Married/separated,1
457,"Vang, Kimiko",Female,1947-06-16,2400,Denmark,Married/separated,2
458,"Jablonski, Parker",Male,1949-12-10,2400,Denmark,Widowed,2
459,"Zyzda, Georgia",Female,1950-01-20,2200,Denmark,Married/separated,1
460,"Sawicki, Shelly",Female,1947-01-28,2400,Denmark,Married/separated,1
461,"Nguyen, Chi-Thong",Male,1946-07-12,2400,Denmark,Widowed,1
462,"Miller, Simonita",Female,1953-04-26,2300,Denmark,Married/separated,1
463,"Shahan, Lamar",Male,1948-02-07,2300,Denmark,Married/separated,2
464,"Calderon, Leopoldo",Male,1952-11-02,2300,Denmark,Married/separated,2
465,"Vo, Julien",Male,1951-06-06,2200,Denmark,Widowed,1
466,"Donnellan, August",Male,1949-08-25,2200,Denmark,Married/separated,1
467,"Nelson, Kendall",Female,1947-09-28,2200,Denmark,Never married,1
468,"Patterson, Jacey",Female,1945-11-25,2300,Denmark,Widowed,1
469,"Sowell, London",Female,1949-09-25,2300,Denmark,Married/separated,1
470,"Riley, Kimuraamor",Female,1952-02-17,2400,Denmark,Married/separated,1
471,"Payne, Daniele",Female,1944-09-02,2300,Denmark,Married/separated,1
472,"Savoy, Krizma",Female,1936-12-08,2400,Denmark,Married/separated,1
473,"al-Shaban, Shameem",Male,1934-07-15,2200,Denmark,Widowed,1
474,"Todd, Alexander",Male,1952-01-25,2300,Denmark,Married/separated,1
475,"Tran, Rahul",Male,1949-03-04,2300,Poland,Married/separated,2
476,"Heiderstadt, Rahul",Male,1938-03-07,2400,Denmark,Married/separated,2
477,"Begay, Patricia",Female,1952-09-01,2400,Denmark,Married/separated,1
478,"Anderson, Isaac",Male,1947-05-07,2300,Denmark,Divorced,2
479,"al-Amini, Nawwaara",Female,1946-08-24,2400,Denmark,Married/separated,2
480,"Becerra Torres, Ana",Female,1941-01-03,2300,Eritrea,Married/separated,2
481,"White, Antonio",Male,1938-03-19,2300,Denmark,Widowed,1
482,"Guerrero, Angela",Female,1942-09-02,2400,Denmark,Married/separated,1
483,"Fields, Oshella",Female,1940-10-09,2400,Denmark,Married/separated,1
484,"Benavidez, Vanessa",Female,1943-08-12,2200,Denmark,Married/separated,1
485,"Sanchez, Jasmine",Female,1947-05-08,2400,Denmark,Widowed,2
486,"Williams, Kenny",Male,1997-06-23,2100,Denmark,Never married,0
487,"Lopez, Misty",Female,1994-06-17,2200,China,Never married,2
488,"Matthiesen, Tara",Female,2001-02-02,2100,Ukraine,Never married,0
489,"Thompson, Noah",Male,1992-07-21,2300,Denmark,Never married,0
490,"Ostrow, Cecilia",Female,2000-08-28,2300,Denmark,Never married,0
491,"al-Farooq, Bassil",Male,1998-03-22,2300,Denmark,Never married,0
492,"Finley-Thomas, Sabastian",Male,1997-11-12,2300,Denmark,Never married,0
493,"el-Hamady, Manaahil",Female,2001-02-22,2200,Poland,Never married,2
494,"el-Amini, Rushdi",Male,2000-11-08,2100,Denmark,Never married,2
495,"el-Farag, Tameema",Female,1996-07-31,2200,Denmark,Never married,0
496,"Bridge, Zachary",Male,1990-07-16,2200,Denmark,Never married,0
497,"al-Hana, Shuraih",Male,1994-05-28,2200,Denmark,Never married,2
498,"Abeyta, Andrew",Male,1994-09-24,2300,Denmark,Never married,2
499,"Khalidov, Grace",Female,1991-01-09,2200,Denmark,Never married,0
500,"Parham, Saphire",Female,1989-07-19,2100,Denmark,Never married,0
501,"el-Momin, Faai Z",Male,1993-06-28,2100,Denmark,Never married,0
502,"Solongo, Cameron",Male,1989-06-29,2400,China,Never married,0
503,"Rodriguez, Alexander",Male,1990-11-08,2100,Denmark,Never married,2
504,"al-Hafeez, Awaatif",Female,1995-05-21,2100,Denmark,Never married,2
505,"el-Yamin, Shaamil",Male,1998-03-31,2300,China,Never married,0
506,"Johnson, Angalique",Female,1996-09-09,2300,Denmark,Never married,0
507,"Herrera, Casandra",Female,1998-09-12,2200,Denmark,Never married,0
508,"Hoglund, Joseph",Male,1989-05-05,2300,Denmark,Married/separated,0
509,"Han, Mitchell",Male,1991-04-14,2200,Denmark,Never married,0
510,"Ruybal, Rajsha",Female,1997-08-10,2200,Denmark,Never married,2
511,"Marshall, Chandler",Male,2000-03-08,2200,Denmark,Never married,0
512,"Lim, Brandon",Male,1990-05-07,2200,Denmark,Never married,2
513,"Baker, Charles",Male,1994-08-17,2200,Denmark,Never married,0
514,"Lucero, Antonio",Male,1993-06-07,2100,Denmark,Never married,2
515,"al-Haider, Riyaal",Male,1999-11-24,2300,Denmark,Never married,2
516,"Matlock, Christina",Female,1993-11-12,2100,Denmark,Never married,0
517,"Anderson, Justin",Male,1989-08-04,2300,Denmark,Never married,2
518,"Spoon, Rashiah",Female,1998-05-28,2400,Denmark,Never married,0
519,"el-Akram, Mubashshir",Male,1990-06-01,2200,Denmark,Married/separated,0
520,"Gardner, Nicholas",Male,2000-08-18,2100,Denmark,Never married,0
521,"Doss, Kiearra",Female,1999-07-16,2100,Denmark,Never married,0
522,"Paintin, Catherine",Female,1995-06-20,2100,Denmark,Never married,0
523,"al-Kazi, Haaroon",Male,1998-07-29,2100,Denmark,Never married,0
524,"el-Hashmi, Hanoona",Female,1997-05-06,2300,Denmark,Never married,0
525,"el-Barakat, Raihaana",Female,1997-01-13,2100,Denmark,Never married,0
526,"Anderstrom, Blake",Male,1996-08-14,2300,Denmark,Never married,0
527,"Johnson, Myra",Female,1995-10-16,2100,Denmark,Never married,0
528,"Wolfert, Chet",Male,1998-09-04,2100,Denmark,Never married,2
529,"Cacek, Ryan",Male,1992-12-08,2400,Denmark,Never married,0
530,"Ayers, Taylor",Female,1991-06-01,2100,Denmark,Never married,2
531,"Maes, Phayd",Male,1996-06-24,2100,Denmark,Never married,0
532,"Fuentes, Sean",Male,1993-05-02,2100,Denmark,Never married,2
533,"Banchongchith, Amanda",Female,2000-01-11,2100,Denmark,Never married,2
534,"Chavez, Lizzeth",Female,1989-05-03,2300,Denmark,Never married,2
535,"Antoine, Sylvana",Female,1991-07-18,2300,Denmark,Never married,0
536,"Lobban, Shannon",Female,1989-07-07,2100,Denmark,Never married,0
537,"Yee, Alex",Male,1991-03-16,2100,Denmark,Married/separated,0
538,"el-Shaikh, Hakeema",Female,1999-11-23,2200,Denmark,Never married,0
539,"Woolfolk, Jazmyn",Female,2000-09-12,2100,Denmark,Never married,2
540,"Douglas, Tyler",Male,1990-03-21,2200,Denmark,Never married,0
541,"Shea, Ashtyn",Female,1989-12-15,2200,Denmark,Never married,2
542,"Perkins, Martin",Male,1996-09-06,2200,Denmark,Never married,0
543,"Salido, Cinthia",Female,1997-10-09,2100,Denmark,Never married,0
544,"Willoughby, Ashley",Female,1989-09-12,2100,Denmark,Married/separated,0
545,"Mcnett, Katherine",Female,2000-08-03,2100,Denmark,Never married,0
546,"el-Amir, Ameer",Male,1994-05-17,2300,Denmark,Never married,0
547,"Bennett, Tsinnijinnie",Male,1999-09-23,2200,Denmark,Never married,0
548,"Nixon, David",Male,1994-07-04,2100,Denmark,Never married,2
549,"Kirschenmann, Andrew",Male,1999-02-22,2200,Denmark,Never married,0
550,"Carter, Jasmine",Female,1990-02-09,2300,Denmark,Never married,2
551,"Saeed, Lauren",Female,1989-07-19,2300,Sri Lanka,Never married,0
552,"Duran, Gregory",Male,1999-06-14,2300,Denmark,Never married,0
553,"Mendez-Paige, Martia",Female,1992-11-11,2100,Lithuania,Never married,0
554,"el-Ammar, Sabreen",Female,1999-11-06,2100,Denmark,Never married,0
555,"Gadd, Bailey",Female,1995-09-18,2100,Denmark,Never married,0
556,"Payton, Lauren",Female,1992-01-02,2200,Denmark,Married/separated,2
557,"Lane, Kyla",Female,1998-10-30,2300,Denmark,Never married,0
558,"Cheatle, Carlos",Male,1992-05-15,2200,Denmark,Never married,0
559,"al-Huq, Hamad",Male,1993-08-04,2100,Denmark,Never married,0
560,"Thompson, Deangelo",Male,1994-03-28,2300,Denmark,Never married,2
561,"Motlong, Timothy",Male,1993-07-13,2200,Denmark,Never married,0
562,"el-Arshad, Jannat",Female,1992-01-29,2200,Denmark,Never married,2
563,"Valencia, Julia",Female,1995-02-05,2400,Denmark,Never married,2
564,"Black, Urian",Male,1995-07-10,2200,Denmark,Never married,2
565,"Phannadeth, Vi",Female,1989-11-07,2100,Denmark,Never married,0
566,"al-Nawaz, Naseefa",Female,1995-01-22,2100,Denmark,Never married,0
567,"Nguyen, Josaphina",Female,1993-08-26,2200,Denmark,Never married,0
568,"al-Jaffer, Manaahil",Female,1995-12-01,2300,Denmark,Never married,0
569,"al-Samra, Zulfa",Female,1989-11-07,2300,Denmark,Never married,0
570,"Gonzalez-Ramirez, Jessica",Female,1990-12-16,2300,Denmark,Never married,0
571,"Ambriz-Mendez, Andrew",Male,1992-04-01,2200,Denmark,Never married,0
572,"al-Khalifa, Ramla",Female,2000-10-21,2100,Denmark,Never married,0
573,"Whitebull-Delgado, Alaina",Female,1991-10-03,2200,Denmark,Never married,2
574,"el-Atallah, Anas",Male,2000-11-27,2100,Denmark,Never married,0
575,"Xiong, Jared",Male,1991-08-25,2100,Denmark,Never married,0
576,"Rodriguez, Juaquin",Male,1994-07-19,2100,Denmark,Never married,2
577,"Brenner, Elias",Male,1989-04-11,2300,Denmark,Married/separated,0
578,"Watson, Dylan",Male,1990-07-19,2200,Denmark,Never married,0
579,"Morgan, Trey",Male,1992-03-13,2300,Denmark,Never married,0
580,"Song, Austin",Male,1993-08-27,2300,Denmark,Never married,0
581,"Towns, Adhitya",Male,1996-10-18,2400,Denmark,Never married,0
582,"Graham, Meaghan",Female,2000-08-11,2300,Denmark,Never married,0
583,"Rael, Joshua",Male,2000-01-31,2100,Denmark,Never married,0
584,"Oh, Emily",Female,1995-07-14,2100,Denmark,Never married,2
585,"Gutierrez, Se-Hee",Female,1991-06-30,2100,Denmark,Never married,0
586,"Knight, Brent",Male,1997-06-28,2100,Denmark,Never married,0
587,"Garcia, Erik",Male,1992-05-30,2300,Denmark,Never married,0
588,"Whipple, Justice",Female,2000-11-17,2300,Denmark,Never married,0
589,"Barree, Torrance",Male,1994-11-17,2100,Denmark,Never married,0
590,"Goheen, Dylan",Male,1998-01-27,2200,Denmark,Never married,2
591,"Won, Yuqiong",Female,1989-06-02,2300,Denmark,Never married,0
592,"Vu, Chantana",Female,1999-05-30,2200,Denmark,Never married,0
593,"Babcock, Veronica",Female,2000-04-25,2200,Denmark,Never married,0
594,"O'Connor, Rylie",Female,1996-06-24,2200,Denmark,Never married,0
595,"Green, De'Jah",Female,2001-02-12,2100,Denmark,Never married,0
596,"Johnson, Alphonzo",Male,1998-02-04,2200,Denmark,Never married,0
597,"Brady, Courtney",Female,1994-11-28,2200,Denmark,Never married,0
598,"Cho, Kenny",Male,1995-09-18,2100,Denmark,Never married,2
599,"Spicely, Treyvon",Male,2000-06-06,2100,China,Never married,0
600,"Leung, Yennhi",Female,1998-06-12,2200,Denmark,Never married,2
601,"Hughes, Brennan",Male,1996-09-11,2200,Denmark,Never married,2
602,"Clark, Hannah",Female,1996-04-01,2100,Denmark,Never married,2
603,"Alvarado, Alejandra",Female,1999-12-11,2300,Denmark,Never married,0
604,"Billings, Luna",Female,1998-05-26,2300,Denmark,Never married,0
605,"Patton, Samantha",Female,1989-08-12,2300,Denmark,Never married,0
606,"Seymour, Cassandra",Female,2001-01-19,2200,Denmark,Never married,0
607,"Noe, Mahalia",Female,1997-08-15,2300,Denmark,Never married,0
608,"Varela, Maria",Female,1995-08-09,2200,Denmark,Never married,0
609,"Ramirez, Heather",Female,1998-09-23,2100,Denmark,Never married,0
610,"al-Jafri, Thaamir",Male,2000-02-23,2100,Denmark,Never married,2
611,"Cortez, Jordan",Female,1992-06-06,2100,Denmark,Married/separated,0
612,"Mullin, Lydia",Female,1994-03-09,2100,Denmark,Never married,2
613,"Gutierrez, Bianca",Female,1998-01-13,2100,Denmark,Never married,0
614,"el-Darwish, Nazmiyya",Female,1991-04-16,2300,Denmark,Never married,0
615,"Vigil, Ariel",Male,1992-11-02,2300,Denmark,Never married,2
616,"Matrisciano, Sierra",Female,1993-01-03,2100,Denmark,Never married,0
617,"Saldana, Aldo",Male,1989-07-16,2100,Denmark,Never married,0
618,"Andolsek, Alec",Male,1992-06-18,2100,Denmark,Never married,0
619,"Bennett, Jada",Female,2000-04-23,2200,Denmark,Never married,0
620,"Bengogullari, Akila",Female,1996-02-27,2400,Denmark,Never married,0
621,"Chadwick, Ryan",Male,1991-12-15,2300,Denmark,Never married,2
622,"al-Qadir, Saqr",Male,1989-11-08,2300,Denmark,Married/separated,0
623,"el-Yousif, Rajab",Male,1989-05-05,2100,Denmark,Never married,2
624,"al-Jamal, Aneesa",Female,1991-03-18,2400,Denmark,Never married,0
625,"al-Ozer, Maimoona",Female,1998-04-25,2200,Denmark,Never married,2
626,"Gordon, Jake",Male,1997-01-28,2100,Denmark,Never married,0
627,"Njenga, Demari",Female,1996-03-31,2100,Denmark,Never married,0
628,"Oh, Jean-Christophe",Male,1989-12-27,2200,Denmark,Never married,2
629,"Pierce, Chase",Male,1989-09-01,2300,Poland,Married/separated,0
630,"Lee, Adiam",Female,1991-07-08,2100,Denmark,Never married,0
631,"Foley, Aura",Female,1981-08-12,2400,Denmark,Never married,2
632,"Khan, Mark",Male,1982-05-09,2400,Denmark,Never married,2
633,"Preston, Tienkieu",Female,1981-03-04,2400,Denmark,Never married,0
634,"Contreras, Citlali",Female,1979-02-28,2400,Denmark,Never married,2
635,"Nededog, Josiah",Male,1976-08-21,2400,Denmark,Divorced,0
636,"Campa, George",Male,1977-01-15,2200,Denmark,Never married,0
637,"al-Wahba, Umar",Male,1981-06-18,2100,Denmark,Never married,2
638,"Threlkel, Abel",Male,1978-05-05,2300,Denmark,Never married,0
639,"Lau, Caitlin",Female,1985-05-17,2400,Denmark,Married/separated,2
640,"Bell, Timothy",Male,1981-05-25,2100,Denmark,Married/separated,0
641,"al-Iman, Hamsa",Female,1974-12-05,2200,Denmark,Never married,0
642,"Whyte, Jeremy",Male,1987-11-18,2300,Denmark,Never married,0
643,"el-Yousef, Naasif",Male,1977-01-06,2200,Denmark,Married/separated,2
644,"Chunn, Nhi",Female,1983-09-12,2100,Denmark,Married/separated,0
645,"Salmon, Annie",Female,1976-06-23,2400,Denmark,Married/separated,0
646,"Stubblefield, Daniel",Male,1974-05-14,2400,Denmark,Never married,0
647,"Walker, Ebony",Female,1983-10-13,2400,Denmark,Never married,2
648,"Coleman, Triana",Female,1979-08-31,2300,Denmark,Never married,0
649,"Vialpando, Everett",Male,1980-05-14,2200,Denmark,Married/separated,2
650,"Clark, Larisa",Female,1986-03-01,2300,Lithuania,Never married,2
651,"Padilla, Jessica",Female,1983-08-11,2300,Denmark,Never married,0
652,"Clark, Jordan",Male,1974-05-12,2100,Denmark,Never married,2
653,"Spore, Mikaela",Female,1986-08-09,2200,Denmark,Married/separated,0
654,"Quick, Heaven",Female,1984-09-03,2400,Denmark,Married/separated,0
655,"Chang, Phurba",Male,1987-05-11,2100,Brazil,Never married,0
656,"Devalois, Abigail",Female,1982-10-09,2300,Denmark,Never married,0
657,"Krien, Roman",Male,1980-12-12,2400,Denmark,Married/separated,0
658,"Pottberg, Samantha",Female,1976-02-10,2400,Denmark,Married/separated,2
659,"al-Naqvi, Sahla",Female,1976-03-01,2200,Denmark,Married/separated,2
660,"Galligan, Janalen",Female,1986-04-24,2200,Denmark,Married/separated,0
661,"Lee, Shavawn",Female,1986-02-16,2400,Denmark,Never married,0
662,"Lodl, Todd",Male,1980-11-01,2400,Pakistan,Never married,2
663,"Dinh, Janet",Female,1985-02-18,2200,Denmark,Married/separated,0
664,"Green, Shae",Female,1978-12-17,2100,Denmark,Never married,0
665,"Nguyen, Valerie",Female,1985-12-20,2400,Denmark,Married/separated,2
666,"Gonzalez, Adriana",Female,1981-10-30,2400,Denmark,Never married,0
667,"Knowles, Dvaris",Male,1975-10-04,2300,Denmark,Divorced,0
668,"Dizon, David",Male,1975-07-17,2400,Denmark,Married/separated,2
669,"Som, Raymond",Male,1986-10-26,2200,Denmark,Never married,0
670,"el-Abbasi, Mukhtaar",Male,1988-12-11,2100,Denmark,Never married,0
671,"Salas, Antonnette",Female,1974-03-14,2300,Denmark,Divorced,2
672,"Buchholz, Desiray",Female,1975-08-04,2300,Denmark,Divorced,0
673,"Kidwell, Marley",Female,1976-11-02,2300,Denmark,Married/separated,0
674,"Lovato, Kevin",Male,1975-07-26,2400,Denmark,Never married,0
675,"el-Khan, Zahra",Female,1986-05-14,2400,Denmark,Never married,0
676,"Smith, Adjoa",Female,1988-09-29,2200,Romania,Never married,0
677,"Ramirez, George",Male,1982-06-03,2400,Denmark,Divorced,0
678,"Bruce, Devon",Male,1988-07-31,2100,Denmark,Never married,0
679,"Begay, Matea",Female,1986-02-09,2300,Denmark,Married/separated,0
680,"el-Iman, Thanaa",Female,1985-04-16,2100,Denmark,Married/separated,2
681,"Ewton, Tuyen Aalexis",Female,1977-10-18,2400,Denmark,Married/separated,2
682,"Polk, Jazen",Male,1978-12-14,2100,Denmark,Married/separated,2
683,"Cooner, Charles",Male,1988-04-29,2200,Bosnia and Herzegovina,Never married,0
684,"Blosser, Daniel",Male,1981-05-15,2200,Denmark,Never married,2
685,"Cortese, Alissa",Female,1984-07-11,2300,Denmark,Married/separated,0
686,"Reeves, Taylor",Female,1986-06-01,2300,Denmark,Never married,0
687,"Sedillo, Dallas",Male,1974-06-03,2200,Spain,Married/separated,2
688,"Le, Sara",Female,1986-09-11,2100,Denmark,Married/separated,0
689,"Stalker, Eric",Male,1980-06-30,2100,Denmark,Divorced,2
690,"Sadorra, Karthik",Male,1975-11-02,2300,Stateless,Never married,0
691,"Schilling, Jessirae",Female,1988-05-08,2100,Denmark,Never married,0
692,"King, Brian",Male,1985-08-27,2100,Denmark,Never married,0
693,"Cotonuts, Christopher",Male,1983-09-15,2400,Denmark,Never married,0
694,"al-Hashemi, Misbaah",Female,1985-09-20,2200,Lesotho,Married/separated,0
695,"Palmerino, Nicole",Female,1983-05-11,2200,Denmark,Never married,0
696,"Salaz, Shyanne",Female,1988-03-16,2400,Denmark,Married/separated,2
697,"Zellner, Hunter",Male,1978-04-03,2200,Denmark,Married/separated,0
698,"Smith-Shearrion, Nino",Male,1987-07-08,2100,Denmark,Never married,2
699,"Mackay, Brianna",Female,1988-03-27,2100,Denmark,Never married,0
700,"Spoon, Daniel",Male,1975-01-19,2300,Denmark,Divorced,0
701,"Jordan, Jerraya",Female,1980-08-20,2100,Denmark,Married/separated,0
702,"Mccoy, Andrew",Male,1987-01-30,2300,Kosovo,Married/separated,0
703,"Guist, Michael",Male,1974-11-02,2200,Denmark,Divorced,0
704,"Frazier, Deven",Male,1979-05-29,2100,Denmark,Married/separated,2
705,"Kinder, Chavion",Female,1974-03-06,2200,Denmark,Never married,0
706,"Ortiz, Madeline",Female,1987-08-08,2300,Denmark,Married/separated,2
707,"Watson, Jacob",Male,1975-05-28,2200,Denmark,Married/separated,2
708,"Bisbee, Alexandra",Female,1987-06-08,2300,Denmark,Married/separated,0
709,"Kim, Pa Houa",Female,1982-09-04,2300,Denmark,Married/separated,0
710,"Goodteacher, Ian",Male,1976-05-02,2400,Denmark,Divorced,0
711,"Gutierrez, Jazmin",Female,1988-03-01,2300,Denmark,Married/separated,0
712,"el-Ahmad, Wardiyya",Female,1981-08-19,2400,Denmark,Married/separated,0
713,"al-Nawaz, Rasheeda",Female,1982-05-10,2400,Denmark,Divorced,0
714,"al-Sami, Aakif",Male,1983-08-09,2300,Denmark,Never married,2
715,"al-Rad, Haatim",Male,1981-03-26,2300,Denmark,Married/separated,2
716,"Smith, Alina",Female,1975-09-29,2200,Denmark,Married/separated,2
717,"Mcclain, Alexandra",Female,1983-08-10,2100,Denmark,Married/separated,0
718,"Xiong, Sean",Male,1980-12-07,2200,Denmark,Never married,0
719,"Johnson, Sidney",Male,1975-05-07,2400,Denmark,Divorced,0
720,"el-Salik, Baasim",Male,1985-05-17,2100,Denmark,Married/separated,2
721,"Lyde, James",Male,1975-08-29,2100,Denmark,Never married,0
722,"Williams, Tanaya",Female,1983-07-15,2400,Bosnia and Herzegovina,Never married,0
723,"Ballard, Antonio",Male,1987-09-21,2100,Denmark,Married/separated,0
724,"Arnold, Kristen",Female,1978-07-27,2400,Romania,Married/separated,0
725,"Two Crow, Tanisa",Female,1988-07-27,2300,Denmark,Never married,0
726,"Rangel, Alexis",Female,1987-04-18,2400,Denmark,Married/separated,0
